ID,Y,公告发布时间_x,2018年_上市公司供应商信息_项目名称,2018年_上市公司供应商信息_供应商中标价格,2019年_上市公司供应商信息_项目名称,2019年_上市公司供应商信息_供应商中标价格,2020年_上市公司供应商信息_项目名称,2020年_上市公司供应商信息_供应商中标价格,2021年_上市公司供应商信息_项目名称,2021年_上市公司供应商信息_供应商中标价格,2022年_上市公司供应商信息_项目名称,2022年_上市公司供应商信息_供应商中标价格,2023年_上市公司供应商信息_项目名称,2023年_上市公司供应商信息_供应商中标价格,公告发布时间_y,2018年_央企供应商信息_项目名称,2018年_央企供应商信息_中标价格,2019年_央企供应商信息_项目名称,2019年_央企供应商信息_中标价格,2020年_央企供应商信息_项目名称,2020年_央企供应商信息_中标价格,2021年_央企供应商信息_项目名称,2021年_央企供应商信息_中标价格,2022年_央企供应商信息_项目名称,2022年_央企供应商信息_中标价格,2023年_央企供应商信息_项目名称,2023年_央企供应商信息_中标价格,公告发布时间,2018年_政府供应商信息_项目名称,2018年_政府供应商信息_中标价格,2019年_政府供应商信息_项目名称,2019年_政府供应商信息_中标价格,2020年_政府供应商信息_项目名称,2020年_政府供应商信息_中标价格,2021年_政府供应商信息_项目名称,2021年_政府供应商信息_中标价格,2022年_政府供应商信息_项目名称,2022年_政府供应商信息_中标价格,2023年_政府供应商信息_项目名称,2023年_政府供应商信息_中标价格
corp_1003033,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004905,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,0.0,,,5.0,1.0,3273600.0,,,2.0,15548000.0,5.0,19233409.6,8.0,12672887.6,,
corp_1000555,0.0,3.0,,,,,,,,,,,,,2.0,,,,,,,6.0,61539079.120000005,7.0,89527879.28999999,,,6.0,5.0,15083889.99,5.0,6438980.0,6.0,26341078.47,10.0,36168825.489999995,10.0,5304860118.61,,
corp_1001612,1.0,1.0,,,,,,,,,,,,,3.0,1.0,48088649.09,,,2.0,0.0,,,3.0,0.0,,,,,,,,,,,,,,,
corp_1002642,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001936,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,6.0,16060000.0,,,,
corp_1001193,0.0,8.0,,,,,,,,,,,,,8.0,3.0,0.0,6.0,5097722.64,15.0,13240572.53,24.0,29360550.0,23.0,8072000.0,3.0,2757378.0,9.0,,,2.0,5257800.0,1.0,149200842.0,4.0,3499800.0,15.0,121770191.57000001,,
corp_1002877,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002321,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002751,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001981,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,250000.0,1.0,180000.0,,
corp_1001278,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002622,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003416,0.0,6.0,,,,,,,,,,,,,6.0,2.0,10176912.93,3.0,6160222.33,5.0,48236212.21,3.0,28071152.0,7.0,90996172.0,1.0,0.0,1.0,,,,,,,,,1.0,77016604.55,,
corp_1001623,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001557,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001342,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,2.0,4529047.26,1.0,16921456.76,,,,
corp_1003640,1.0,,,,,,,,,,,,,,3.0,,,,,1.0,720000.0,1.0,0.0,1.0,0.0,,,6.0,1.0,1560080.0,1.0,4156766.0,4.0,7096320.0,2.0,2096040.0,4.0,2093520.0,1.0,0.0
corp_1002768,0.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,4.0,898800.0,,,,,,,,,,,,,,,
corp_1001832,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001382,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001369,1.0,7.0,,,,,,,,,,,,,8.0,5.0,469000.0,24.0,2904000.0,23.0,5762000.0,16.0,9857600.0,24.0,8079300.0,1.0,19500000.0,,,,,,,,,,,,,
corp_1002787,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003768,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1000943,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002828,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001154,1.0,2.0,,,,,,,,,,,,,2.0,,,,,,,1.0,13218768.11,,,,,,,,,,,,,,,,,
corp_1002046,0.0,1.0,,,,,,,,,,,,,3.0,,,,,,,1.0,1108100.0,1.0,0.0,1.0,1400000.0,4.0,,,1.0,299990.0,10.0,5704960.0,13.0,4915978.91,5.0,1597777.94,,
corp_1003733,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,1786000.0,,,8.0,2.0,899000.0,3.0,26580898000.0,5.0,11829400.0,5.0,5912003500.0,7.0,3982892782.0,,
corp_1001440,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004916,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003224,0.0,1.0,,,,,,,,,,,,,3.0,,,,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,
corp_1003856,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001691,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001664,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,2.0,7470000.0,,,,,,,,,,,,,,,
corp_1002199,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004075,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003201,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004611,0.0,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
corp_1004812,0.0,4.0,,,,,,,,,,,,,5.0,,,3.0,1008853.14,,,3.0,8350000.0,1.0,62000.0,,,6.0,,,,,2.0,35198500.0,1.0,0.0,4.0,6289239.42,,
corp_1003339,1.0,,,,,,,,,,,,,,2.0,,,,,,,7.0,21657568.62,4.0,4110440.0,,,2.0,,,,,,,3.0,4473000.0,1.0,10970000.0,,
corp_1003265,0.0,,,,,,,,,,,,,,4.0,,,1.0,0.0,2.0,0.0,3.0,328009.5,4.0,1189493.3199999998,,,5.0,1.0,2415000.0,1.0,3580000.0,2.0,1195000.0,3.0,2328000.0,8.0,3251389.82,,
corp_1004282,1.0,2.0,,,,,,,,,,,,,3.0,,,,,3.0,0.0,,,3.0,0.0,,,,,,,,,,,,,,,
corp_1002039,0.0,8.0,,,,,,,,,,,,,8.0,3.0,0.0,19.0,5606000.0,19.0,9175000.0,27.0,50629480.0,20.0,36823230.0,4.0,7690000.0,5.0,1.0,4750000.0,,,,,1.0,1899000.0,1.0,1858000.0,,
corp_1004094,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001116,0.0,2.0,,,,,,,,,,,,,2.0,,,,,1.0,155000.0,2.0,926000.0,,,,,4.0,,,3.0,3340700.0,9.0,3059900.0,6.0,4620000.0,2.0,259600.0,,
corp_1000375,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002602,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,0.0,,,4.0,,,,,3.0,2051000.0,,,,,,
corp_1000132,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002317,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001942,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,386000.0,,,2.0,1351130.0,,,,
corp_1002535,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003776,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002035,0.0,,,,,,,,,,,,,,2.0,,,,,1.0,0.0,2.0,0.0,,,,,3.0,,,1.0,0.0,2.0,0.0,4.0,0.0,,,,
corp_1001683,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,1.0,213796.0,1.0,914680.0,,,4.0,1.0,248000.0,,,7.0,5794950.0,6.0,4711000.0,3.0,3856200.0,,
corp_1004296,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002794,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004885,0.0,4.0,,,,,,,,,,,,,2.0,,,,,,,2.0,57777777.77,1.0,12389277.0,,,2.0,,,1.0,0.0,1.0,180548.0,,,,,,
corp_1002564,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,15006800.0,,
corp_1004782,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
corp_1001027,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002717,0.0,1.0,,,,,,,,,,,,,4.0,,,1.0,984000.0,,,1.0,886000.0,1.0,0.0,2.0,0.0,11.0,1.0,0.0,4.0,3344000.0,2.0,2750300.0,12.0,31251237.5,12.0,68730824.66,,
corp_1001156,0.0,2.0,,,,,,,,,,,,,2.0,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
corp_1001928,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002354,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,510000.0,,
corp_1000463,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,0.0,,,,,,
corp_1003450,0.0,4.0,,,,,,,,,,,,,5.0,,,5.0,23240000.0,2.0,0.0,3.0,11730000.0,,,1.0,0.0,,,,,,,,,,,,,
corp_1003082,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003699,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002488,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002245,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1000657,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003712,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003577,0.0,4.0,,,,,,,,,,,,,4.0,,,1.0,67188855.6,5.0,499651823.99,,,7.0,1288086423.77,,,1.0,,,,,,,,,5.0,779771123.8,,
corp_1001593,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,0.0,1.0,,,,,,,,,,,,
corp_1002511,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004792,1.0,,,,,,,,,,,,,,2.0,,,,,1.0,26508397.77,3.0,0.0,,,,,3.0,,,4.0,811000.0,3.0,2299000.0,7.0,1860700.0,,,,
corp_1000155,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001556,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004259,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
